bookingID,employeeID,customerID,productID,destinationID,classID,feeID,bookingDate,tripStart,tripEnd,numberOfTravellers,description,basePrice,taxRate,status,createdAt,updatedAt
1,9,26,2,4,6,5,2023-02-12,2023-04-12,2023-05-02,4,,2399.85,5.0,cancelled,2024-01-15 09:00:00,2024-01-15 09:00:00
2,8,83,7,5,,6,2022-12-06,2022-12-30,2023-01-05,3,,3777.14,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
3,5,96,15,7,,,2023-12-10,2024-01-17,2024-01-31,5,,2500.41,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
4,9,94,14,2,3,,2022-11-25,2022-12-08,2022-12-13,3,,5456.89,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
5,5,58,20,12,8,,2022-02-13,2022-04-07,2022-04-21,5,,7986.13,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
6,5,82,2,2,7,,2023-11-27,2023-12-14,2023-12-17,2,,6865.02,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
7,9,57,2,3,,3,2023-01-06,2023-02-06,2023-02-27,1,,5038.21,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
8,5,58,12,6,2,,2023-06-27,2023-07-27,2023-08-11,3,,5371.71,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
9,3,15,1,12,,,2023-07-30,2023-08-13,2023-08-24,3,,5780.28,5.0,confirmed,2024-01-15 09:00:00,2024-01-15 09:00:00
10,4,79,10,12,8,,2022-05-19,2022-05-30,2022-06-16,2,,7240.09,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
11,3,12,11,11,,,2023-07-10,2023-08-04,2023-08-16,2,,5838.57,5.0,pending,2024-01-15 09:00:00,2024-01-15 09:00:00
12,5,82,6,6,2,2,2022-08-31,2022-10-27,2022-11-14,1,,3206.72,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
13,3,48,15,9,,1,2022-11-13,2022-12-15,2023-01-02,5,,3580.96,5.0,completed,2024-01-15 09:00:00,2024-01-15 09:00:00
