bookingCustomerID,bookingID,customerID,role,shareAmount,sharePaid,shareStatus,notes,createdAt,updatedAt
1,104,80,lead,2696.81,2696.81,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
2,104,63,member,2696.81,2696.81,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
3,98,50,lead,2134.45,1210.05,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
4,98,88,member,2134.45,1529.72,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
5,98,28,member,2134.45,2134.45,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
6,98,20,member,2134.45,675.29,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
7,52,35,lead,1545.72,1529.6,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
8,52,72,member,1545.72,1545.72,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
9,154,67,lead,1458.06,1342.53,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
10,154,26,member,1458.06,1154.55,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
11,154,78,member,1458.06,1458.06,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
12,154,60,member,1458.06,1458.06,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
13,154,7,member,1458.06,1458.06,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
14,46,5,lead,1684.75,1684.75,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
15,46,15,member,1684.75,1684.75,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
16,46,3,member,1684.75,1684.75,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
17,59,19,lead,5204.35,5204.35,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
18,59,40,member,5204.35,2109.48,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
19,64,82,lead,4157.84,4157.84,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
20,64,28,member,4157.84,4157.84,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
21,35,46,lead,4688.8,4050.79,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
22,35,89,member,4688.8,4688.8,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
23,35,61,member,4688.8,4688.8,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
24,195,16,lead,2978.69,2978.69,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
25,195,13,member,2978.69,2978.69,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
26,195,19,member,2978.69,2978.69,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
27,195,38,member,2978.69,2978.69,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
28,195,23,member,2978.69,2978.69,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
29,23,33,lead,1743.81,501.72,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
30,23,16,member,1743.81,1743.81,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
31,23,47,member,1743.81,377.22,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
32,65,44,lead,1882.48,70.77,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
33,65,52,member,1882.48,1882.48,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
34,65,50,member,1882.48,1882.48,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
35,65,54,member,1882.48,1882.48,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
36,65,48,member,1882.48,1606.85,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
37,187,84,lead,1422.99,1422.99,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
38,187,93,member,1422.99,1422.99,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
39,187,40,member,1422.99,1422.99,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
40,99,50,lead,4006.03,1753.9,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
41,99,38,member,4006.03,4006.03,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
42,99,57,member,4006.03,2015.64,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
43,136,62,lead,2042.77,1977.63,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
44,136,69,member,2042.77,2042.77,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
45,136,17,member,2042.77,774.13,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
46,136,33,member,2042.77,2042.77,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
47,176,25,lead,610.35,610.35,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
48,176,49,member,610.35,519.08,partial,,2024-01-15 09:00:00,2024-01-15 09:00:00
49,176,44,member,610.35,610.35,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
50,176,26,member,610.35,610.35,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
51,176,45,member,610.35,610.35,paid,,2024-01-15 09:00:00,2024-01-15 09:00:00
