commissionID,bookingID,employeeID,invoiceID,commissionRate,commissionAmount,description,status,approvedBy,approvedAt,createdAt,updatedAt
1,2,8,1,15.0,566.57,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
2,3,5,2,11.0,275.05,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
3,4,9,3,9.0,491.12,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
4,5,5,4,10.0,798.61,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
5,8,5,5,10.5,564.03,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
6,9,3,6,10.0,578.03,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
7,10,4,7,11.0,796.41,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
8,12,5,8,8.0,256.54,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
9,13,3,9,11.0,393.91,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
10,15,8,10,10.0,164.76,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
11,16,4,11,13.0,684.18,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
12,17,9,12,8.0,604.96,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
13,19,9,13,10.0,531.43,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
14,20,9,14,15.0,619.78,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
15,21,5,15,10.0,436.24,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
16,23,4,16,9.0,717.28,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
17,24,5,17,11.0,346.14,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
18,26,3,18,9.0,239.81,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
19,28,5,19,5.0,76.39,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
20,29,4,20,5.0,172.36,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
21,30,9,21,11.0,446.79,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
22,33,9,22,8.0,304.62,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
23,34,9,23,9.0,138.21,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
24,37,9,24,12.5,902.27,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
25,38,3,25,8.0,327.45,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
26,39,5,26,11.0,607.61,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
27,40,8,27,15.0,1160.08,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
28,41,9,28,12.5,600.75,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
29,43,5,29,10.0,420.43,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
30,44,5,30,11.0,267.24,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
31,45,9,31,13.0,384.73,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
32,47,5,32,13.0,716.09,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
33,48,3,33,8.0,614.42,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
34,50,9,34,10.0,727.17,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
35,51,3,35,5.0,243.68,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
36,53,5,36,9.0,88.04,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
37,54,3,37,12.5,993.3,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
38,55,5,38,9.0,165.47,,approved,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
39,57,5,39,15.0,936.81,,pending,,,2024-01-15 09:00:00,2024-01-15 09:00:00
40,58,5,40,15.0,908.11,,paid,2,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
