commPaymentID,commissionID,employeeID,paymentDate,paymentAmount,paymentMethod,reference,status,isBonus,bonusReason,processedBy,createdAt,updatedAt
1,2,5,2024-01-25,275.05,CHEQUE,REF00001,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
2,4,5,2024-01-20,798.61,TRANSFER,REF00002,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
3,6,3,2024-01-21,578.03,CHEQUE,REF00003,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
4,11,4,2024-02-08,684.18,CHEQUE,REF00004,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
5,13,9,2024-02-04,531.43,CHEQUE,REF00005,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
6,15,5,2024-01-22,436.24,CHEQUE,REF00006,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
7,21,9,2024-02-05,446.79,TRANSFER,REF00007,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
8,23,9,2024-02-05,138.21,TRANSFER,REF00008,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
9,24,9,2024-02-02,902.27,CASH,REF00009,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
10,25,3,2024-01-22,327.45,TRANSFER,REF00010,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
11,34,9,2024-02-10,727.17,CHEQUE,REF00011,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
12,40,5,2024-01-29,908.11,CASH,REF00012,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
13,41,3,2024-02-06,468.22,TRANSFER,REF00013,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
14,49,9,2024-01-23,320.07,CASH,REF00014,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
15,50,5,2024-01-27,96.97,TRANSFER,REF00015,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
16,51,8,2024-01-21,832.31,CHEQUE,REF00016,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
17,55,9,2024-02-01,543.34,TRANSFER,REF00017,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
18,56,8,2024-02-01,526.35,CHEQUE,REF00018,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
19,60,8,2024-01-20,461.25,CHEQUE,REF00019,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
20,70,9,2024-02-05,486.52,CASH,REF00020,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
21,72,3,2024-02-04,145.32,TRANSFER,REF00021,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
22,73,5,2024-01-30,72.17,TRANSFER,REF00022,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
23,75,9,2024-01-25,240.5,TRANSFER,REF00023,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
24,76,3,2024-02-09,353.05,TRANSFER,REF00024,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
25,77,5,2024-02-10,723.83,TRANSFER,REF00025,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
26,78,3,2024-01-26,686.78,CASH,REF00026,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
27,80,9,2024-02-09,505.24,TRANSFER,REF00027,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
28,83,9,2024-02-12,221.71,TRANSFER,REF00028,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
29,84,9,2024-02-03,953.65,TRANSFER,REF00029,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
30,86,4,2024-01-22,849.68,TRANSFER,REF00030,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
31,88,4,2024-02-14,951.89,TRANSFER,REF00031,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
32,91,4,2024-02-07,720.86,CHEQUE,REF00032,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
33,94,3,2024-02-02,262.22,CASH,REF00033,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
34,97,5,2024-02-02,54.78,CASH,REF00034,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
35,100,9,2024-02-10,744.53,TRANSFER,REF00035,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
36,106,5,2024-02-09,408.46,TRANSFER,REF00036,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
37,107,8,2024-02-13,462.04,TRANSFER,REF00037,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
38,109,5,2024-02-11,222.42,CHEQUE,REF00038,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
39,112,8,2024-02-05,108.36,CHEQUE,REF00039,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
40,117,4,2024-02-08,908.2,CASH,REF00040,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
41,118,5,2024-02-01,669.76,TRANSFER,REF00041,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
42,121,4,2024-02-04,549.71,TRANSFER,REF00042,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
43,122,3,2024-01-24,610.03,CHEQUE,REF00043,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
44,123,3,2024-02-09,656.35,CHEQUE,REF00044,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
45,124,3,2024-01-20,763.52,TRANSFER,REF00045,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
46,126,5,2024-01-23,277.27,CASH,REF00046,completed,1,Q4 performance bonus,6,2024-01-15 09:00:00,2024-01-15 09:00:00
47,128,3,2024-02-06,338.87,TRANSFER,REF00047,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
48,133,4,2024-01-29,810.37,CHEQUE,REF00048,completed,0,,6,2024-01-15 09:00:00,2024-01-15 09:00:00
