destinationID,destinationCode,destinationName,region,createdAt,updatedAt
1,MED,Mediterranean,Europe,2024-01-15 09:00:00,2024-01-15 09:00:00
2,ANZ,Australia & New Zealand,Asia Pacific,2024-01-15 09:00:00,2024-01-15 09:00:00
3,AFR,Africa,Africa,2024-01-15 09:00:00,2024-01-15 09:00:00
4,ASIA,Asia,Asia Pacific,2024-01-15 09:00:00,2024-01-15 09:00:00
5,CAR,Caribbean,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
6,EUR,Europe,Europe,2024-01-15 09:00:00,2024-01-15 09:00:00
7,CAN,Canada — Domestic,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
8,USA,United States,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
9,MEX,Mexico,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
10,SAM,South America,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
11,ARC,Arctic & Alaska,Americas,2024-01-15 09:00:00,2024-01-15 09:00:00
12,MDE,Middle East,Middle East,2024-01-15 09:00:00,2024-01-15 09:00:00
