invoiceID,bookingID,invoiceDate,subtotal,taxAmount,feeAmount,totalAmount,status,dueDate,notes,createdAt,updatedAt
1,2,2022-12-07,3777.14,188.86,0.0,3966.0,paid,2023-01-06,,2024-01-15 09:00:00,2024-01-15 09:00:00
2,3,2023-12-11,2500.41,125.02,0,2625.43,refunded,2024-01-10,,2024-01-15 09:00:00,2024-01-15 09:00:00
3,4,2022-11-26,5456.89,272.84,0,5729.73,unpaid,2022-12-26,,2024-01-15 09:00:00,2024-01-15 09:00:00
4,5,2022-02-14,7986.13,399.31,0,8385.44,unpaid,2022-03-16,,2024-01-15 09:00:00,2024-01-15 09:00:00
5,8,2023-06-28,5371.71,268.59,0,5640.3,unpaid,2023-07-28,,2024-01-15 09:00:00,2024-01-15 09:00:00
6,9,2023-07-31,5780.28,289.01,0,6069.29,unpaid,2023-08-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
7,10,2022-05-20,7240.09,362.0,0,7602.09,unpaid,2022-06-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
8,12,2022-09-01,3206.72,160.34,25.0,3392.06,paid,2022-10-01,,2024-01-15 09:00:00,2024-01-15 09:00:00
9,13,2022-11-14,3580.96,179.05,0.0,3760.01,refunded,2022-12-14,,2024-01-15 09:00:00,2024-01-15 09:00:00
10,15,2022-02-27,1647.62,82.38,0,1730.0,paid,2022-03-29,,2024-01-15 09:00:00,2024-01-15 09:00:00
11,16,2022-10-19,5262.93,263.15,25.0,5551.08,paid,2022-11-18,,2024-01-15 09:00:00,2024-01-15 09:00:00
12,17,2023-05-31,7562.05,378.1,0,7940.15,partial,2023-06-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
13,19,2023-05-26,5314.3,265.71,50.0,5630.01,paid,2023-06-25,,2024-01-15 09:00:00,2024-01-15 09:00:00
14,20,2022-03-04,4131.88,206.59,0,4338.47,paid,2022-04-03,,2024-01-15 09:00:00,2024-01-15 09:00:00
15,21,2022-12-21,4362.35,218.12,0.0,4580.47,paid,2023-01-20,,2024-01-15 09:00:00,2024-01-15 09:00:00
16,23,2022-11-18,7969.77,398.49,0.0,8368.26,partial,2022-12-18,,2024-01-15 09:00:00,2024-01-15 09:00:00
17,24,2023-04-15,3146.71,157.34,25.0,3329.05,paid,2023-05-15,,2024-01-15 09:00:00,2024-01-15 09:00:00
18,26,2023-07-31,2664.51,133.23,0,2797.74,paid,2023-08-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
19,28,2023-05-29,1527.77,76.39,25.0,1629.16,refunded,2023-06-28,,2024-01-15 09:00:00,2024-01-15 09:00:00
20,29,2022-12-03,3447.16,172.36,50.0,3669.52,partial,2023-01-02,,2024-01-15 09:00:00,2024-01-15 09:00:00
21,30,2023-05-18,4061.69,203.08,0.0,4264.77,paid,2023-06-17,,2024-01-15 09:00:00,2024-01-15 09:00:00
22,33,2023-12-20,3807.79,190.39,0,3998.18,paid,2024-01-19,,2024-01-15 09:00:00,2024-01-15 09:00:00
23,34,2023-09-20,1535.62,76.78,0,1612.4,partial,2023-10-20,,2024-01-15 09:00:00,2024-01-15 09:00:00
24,37,2023-08-12,7218.2,360.91,0,7579.11,partial,2023-09-11,,2024-01-15 09:00:00,2024-01-15 09:00:00
25,38,2022-12-22,4093.09,204.65,25.0,4322.74,refunded,2023-01-21,,2024-01-15 09:00:00,2024-01-15 09:00:00
26,39,2023-08-25,5523.75,276.19,0,5799.94,refunded,2023-09-24,,2024-01-15 09:00:00,2024-01-15 09:00:00
27,40,2023-04-30,7733.89,386.69,0,8120.58,refunded,2023-05-30,,2024-01-15 09:00:00,2024-01-15 09:00:00
