paymentID,invoiceID,cardID,billedAmount,amountPaid,paymentMethod,paymentDate,paymentType,status,reference,notes,createdAt,updatedAt
1,1,,3966.0,3966.0,TRANSFER,2022-12-07,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
2,2,,2625.43,2625.43,CARD,2023-12-11,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
3,8,,3392.06,3392.06,CARD,2022-09-01,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
4,9,48,3760.01,3760.01,CARD,2022-11-14,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
5,10,71,1730.0,1730.0,CARD,2022-02-27,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
6,11,21,5551.08,5551.08,CARD,2022-10-19,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
7,12,36,7940.15,2382.04,CASH,2023-05-31,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
8,13,,5630.01,5630.01,CASH,2023-05-26,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
9,14,62,4338.47,4338.47,CASH,2022-03-04,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
10,15,44,4580.47,4580.47,CARD,2022-12-21,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
11,16,79,8368.26,2510.48,CARD,2022-11-18,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
12,17,64,3329.05,3329.05,CASH,2023-04-15,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
13,18,47,2797.74,2797.74,CASH,2023-07-31,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
14,19,44,1629.16,1629.16,CASH,2023-05-29,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
15,20,61,3669.52,1100.86,CARD,2022-12-03,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
16,21,,4264.77,4264.77,TRANSFER,2023-05-18,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
17,22,49,3998.18,3998.18,CARD,2023-12-20,full,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
18,23,20,1612.4,483.72,TRANSFER,2023-09-20,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
19,24,,7579.11,2273.73,CARD,2023-08-12,deposit,completed,,,2024-01-15 09:00:00,2024-01-15 09:00:00
20,25,45,4322.74,4322.74,TRANSFER,2022-12-22,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
21,26,69,5799.94,5799.94,CARD,2023-08-25,full,refunded,,,2024-01-15 09:00:00,2024-01-15 09:00:00
