categoryID,categoryName,rangeStart,rangeEnd,createdAt,updatedAt
1,Airline Consolidators,100,149,2024-01-15 09:00:00,2024-01-15 09:00:00
2,Airlines,150,199,2024-01-15 09:00:00,2024-01-15 09:00:00
3,Attractions,200,249,2024-01-15 09:00:00,2024-01-15 09:00:00
4,Car Rentals,250,299,2024-01-15 09:00:00,2024-01-15 09:00:00
5,Cruise Lines,300,349,2024-01-15 09:00:00,2024-01-15 09:00:00
6,Hotels & Resorts,350,399,2024-01-15 09:00:00,2024-01-15 09:00:00
7,Rail & Ground,400,449,2024-01-15 09:00:00,2024-01-15 09:00:00
8,Specialty Travel,450,499,2024-01-15 09:00:00,2024-01-15 09:00:00
9,Tour Operators,500,549,2024-01-15 09:00:00,2024-01-15 09:00:00
10,Travel Insurance,550,599,2024-01-15 09:00:00,2024-01-15 09:00:00
